Site	Pulse	SetDen
Maha	1	15.2
Maha	1	15.2
Maha	1	19.0
Maha	1	19.0
Maha	1	22.9
Maha	1	22.9
Maha	2	15.2
Maha	2	19.0
Maha	2	22.9
Maha	2	30.5
Maha	2	30.5
Maha	2	34.3
Maha	2	34.3
Maha	2	38.1
Maha	2	41.9
Maha	2	45.7
Maha	3	8.4
Maha	3	11.2
Maha	3	11.2
Maha	3	14.0
Maha	3	22.5
Maha	3	25.3
Maha	3	25.3
Maha	3	28.1
Maha	3	30.9
Maha	3	61.8
Maha	4	39.3
Maha	4	56.2
Maha	4	118.0
Maha	4	146.1
Maha	4	174.2
Maha	4	199.4
Maha	4	283.7
Maha	4	353.9
Maha	4	353.9
Maha	4	353.9
Maha	5	5.6
Maha	5	16.9
Maha	5	19.7
Maha	5	22.5
Maha	5	25.3
Maha	5	25.3
Maha	5	33.7
Maha	5	36.5
Maha	5	36.5
Maha	5	39.3
Maha	6	0
Maha	6	0
Maha	6	5.6
Maha	6	8.4
Maha	6	11.2
Maha	6	14.0
Maha	6	14.0
Maha	6	14.0
Maha	6	16.9
Maha	6	22.5
OctC	1	6.2
OctC	1	6.2
OctC	1	6.2
OctC	1	9.3
OctC	1	9.3
OctC	1	12.3
OctC	1	12.3
OctC	1	12.3
OctC	1	12.3
OctC	1	15.4
OctC	2	12.3
OctC	2	18.5
OctC	2	18.5
OctC	2	21.6
OctC	2	21.6
OctC	2	27.8
OctC	2	27.8
OctC	2	30.9
OctC	2	30.9
OctC	2	30.9
OctC	3	0
OctC	3	0
OctC	3	0
OctC	3	0
OctC	3	7.6
OctC	3	15.2
OctC	3	19.0
OctC	3	22.8
OctC	3	34.1
OctC	3	34.1
OctC	4	15.2
OctC	4	26.6
OctC	4	79.7
OctC	4	87.3
OctC	4	91.0
OctC	4	91.0
OctC	4	91.0
OctC	4	110.0
OctC	4	148.0
OctC	4	166.9
OctC	5	11.4
OctC	5	19.0
OctC	5	22.8
OctC	5	26.6
OctC	5	30.3
OctC	5	34.1
OctC	5	34.1
OctC	5	37.9
OctC	5	53.1
OctC	5	64.5
OctC	6	3.8
OctC	6	3.8
OctC	6	7.6
OctC	6	7.6
OctC	6	7.6
OctC	6	15.2
OctC	6	15.2
OctC	6	19.0
OctC	6	22.8
OctC	6	22.8
Socc	1	4.7
Socc	1	4.7
Socc	1	4.7
Socc	1	4.7
Socc	1	6.2
Socc	1	9.4
Socc	1	9.4
Socc	1	9.4
Socc	1	14.2
Socc	1	23.6
Socc	2	9.4
Socc	2	9.4
Socc	2	9.4
Socc	2	9.4
Socc	2	14.2
Socc	2	14.2
Socc	2	14.2
Socc	2	28.3
Socc	2	47.2
Socc	2	51.9
Socc	3	0
Socc	3	0
Socc	3	6.0
Socc	3	9.0
Socc	3	15.0
Socc	3	15.0
Socc	3	21.0
Socc	3	30.0
Socc	3	38.9
Socc	3	41.9
Socc	4	6.0
Socc	4	24.0
Socc	4	33.0
Socc	4	41.9
Socc	4	49.8
Socc	4	62.9
Socc	4	77.9
Socc	4	80.9
Socc	4	146.8
Socc	4	167.8
Socc	5	0
Socc	5	0
Socc	5	0
Socc	5	6.0
Socc	5	15.0
Socc	5	18.0
Socc	5	33.0
Socc	5	74.9
Socc	5	77.9
Socc	5	78.3
Socc	6	0
Socc	6	3.00
Socc	6	17.97
Socc	6	20.97
Socc	6	20.97
Socc	6	20.97
Socc	6	26.96
Socc	6	26.96
Socc	6	32.95
Socc	6	38.95
Temae	1	6.17
Temae	1	11.63
Temae	1	15.50
Temae	1	15.50
Temae	1	19.38
Temae	1	31.01
Temae	1	31.01
Temae	1	34.88
Temae	1	50.39
Temae	1	65.89
Temae	2	0
Temae	2	7.8
Temae	2	11.6
Temae	2	11.6
Temae	2	15.5
Temae	2	23.3
Temae	2	23.3
Temae	2	27.1
Temae	2	38.8
Temae	2	50.4
Temae	3	0
Temae	3	0
Temae	3	0
Temae	3	6.0
Temae	3	23.9
Temae	3	29.9
Temae	3	29.9
Temae	3	32.9
Temae	3	35.9
Temae	3	41.9
Temae	4	26.9
Temae	4	74.7
Temae	4	95.7
Temae	4	185.4
Temae	4	191.3
Temae	4	191.3
Temae	4	194.3
Temae	4	221.2
Temae	4	278.0
Temae	4	463.4
Temae	5	0
Temae	5	0
Temae	5	0
Temae	5	12.0
Temae	5	44.8
Temae	5	74.7
Temae	5	74.7
Temae	5	86.7
Temae	5	98.7
Temae	5	113.6
Temae	6	0
Temae	6	0
Temae	6	0
Temae	6	12.0
Temae	6	29.9
Temae	6	29.9
Temae	6	44.8
Temae	6	71.7
Temae	6	77.7
Temae	6	95.7
Vai	1	0
Vai	1	0
Vai	1	0
Vai	1	0
Vai	1	0
Vai	1	1.8
Vai	1	1.8
Vai	1	1.8
Vai	1	1.8
Vai	1	1.8
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	0
Vai	2	1.8
Vai	3	0
Vai	3	0
Vai	3	0
Vai	3	0
Vai	3	0
Vai	3	0
Vai	3	2.9
Vai	3	5.7
Vai	3	8.6
Vai	3	8.6
Vai	4	2.9
Vai	4	5.7
Vai	4	11.4
Vai	4	11.4
Vai	4	14.3
Vai	4	14.3
Vai	4	14.3
Vai	4	17.1
Vai	4	20
Vai	4	48.6
Vai	5	0
Vai	5	2.9
Vai	5	2.9
Vai	5	2.9
Vai	5	2.9
Vai	5	2.9
Vai	5	5.7
Vai	5	5.7
Vai	5	5.7
Vai	5	5.7
Vai	6	0
Vai	6	0
Vai	6	0
Vai	6	0
Vai	6	2.9
Vai	6	2.9
Vai	6	5.7
Vai	6	5.7
Vai	6	5.7
Vai	6	5.7
